Task ID,Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task,Header,Column,Par,Prompt,Answer,Answer_Column_or_Row
3,DS16_movie_color4.png,16,16,movie,color,4,Sort,Netflix,J,71 70 68,"In the 'Netflix' column, give the row names of the movies with the highest 3 values in descending order ",Welcome Home-Saint Laurent-Red Army,18 6 10
4,DS1_anime_bar1.png,49,1,anime,bar,1,Estimate Average,Plan to Watch,D,,"In the 'Plan to Watch' column, calculate a rough estimate of the average value",28.89655172,D
4,DS2_anime_bar2.png,50,2,anime,bar,2,Estimate Average,Popularity,F,,"In the 'Popularity' column, calculate a rough estimate of the average value",62.37931034,F
4,DS3_anime_bar3.png,51,3,anime,bar,3,Estimate Average,Watching,E,,"In the 'Watching' column, calculate a rough estimate of the average value",37.86206897,E
4,DS4_anime_bar4.png,52,4,anime,bar,4,Estimate Average,Members,G,,"In the 'Members' column, calculate a rough estimate of the average value",47.65517241,G
4,DS5_cereal_zebra1.png,21,5,cereal,zebra,1,Estimate Average,Fiber,F,,"In the 'Fiber' column, calculate a rough estimate of the average value",56.93103448,F
4,DS6_cereal_zebra2.png,22,6,cereal,zebra,2,Estimate Average,Fiber,G,,"In the 'Fiber' column, calculate a rough estimate of the average value",52.31034483,G
4,DS7_cereal_zebra3.png,23,7,cereal,zebra,3,Estimate Average,Sugars,D,,"In the 'Sugars' column, calculate a rough estimate of the average value",35.62068966,D
4,DS8_cereal_zebra4.png,24,8,cereal,zebra,4,Estimate Average,Score,E,,"In the 'Score' column, calculate a rough estimate of the average value",52.31034483,E
4,DS9_candy_plain1.png,41,9,candy,plain,1,Estimate Average,Caramel,G,,"In the 'Caramel' column, calculate a rough estimate of the average value",37.86206897,G
4,DS10_candy_plain2.png,42,10,candy,plain,2,Estimate Average,Almond,D,,"In the 'Almond' column, calculate a rough estimate of the average value",35.62068966,D
4,DS11_candy_plain3.png,43,11,candy,plain,3,Estimate Average,Caramel,F,,"In the 'Caramel' column, calculate a rough estimate of the average value",50.24137931,F
4,DS12_candy_plain4.png,44,12,candy,plain,4,Estimate Average,Fruity,G,,"In the 'Fruity' column, calculate a rough estimate of the average value",37.86206897,G
4,DS13_movie_color1.png,13,13,movie,color,1,Estimate Average,Fandango,E,,"In the 'Fandango' column, calculate a rough estimate of the average value",52.31034483,E
4,DS14_movie_color2.png,14,14,movie,color,2,Estimate Average,MrQE,G,,"In the 'MrQE' column, calculate a rough estimate of the average value",37.86206897,G
4,DS15_movie_color3.png,15,15,movie,color,3,Estimate Average,RottenTomatoes,F,,"In the 'RottenTomatoes' column, calculate a rough estimate of the average value",50.24137931,F
4,DS16_movie_color4.png,16,16,movie,color,4,Estimate Average,IMDB,E,,"In the 'IMDB' column, calculate a rough estimate of the average value",52.31034483,E
5,DS1_anime_bar1.png,49,1,anime,bar,1,Retrieve Value,Ranked,G,15,"In the 'Ranked' column, find the anime with a value equal to '15' ",Best Humanity,16
5,DS2_anime_bar2.png,50,2,anime,bar,2,Retrieve Value,Watching,H,26,"In the 'Watching' column, find the anime with a value equal to '26' ",Queen Kingdom,20
5,DS3_anime_bar3.png,51,3,anime,bar,3,Retrieve Value,Plan to Watch,I,17,"In the 'Plan to Watch' column, find the anime with a value equal to '17' ",Great Teacher,16
5,DS4_anime_bar4.png,52,4,anime,bar,4,Retrieve Value,Popularity,J,12,"In the 'Popularity' column, find the anime with a value equal to '12' ",Helping Alice,18
5,DS5_cereal_zebra1.png,21,5,cereal,zebra,1,Retrieve Value,Sugars,K,51,"In the 'Sugars' column, find the cereal with a value equal to '51' ",Wonderful Chex,17
5,DS6_cereal_zebra2.png,22,6,cereal,zebra,2,Retrieve Value,Score,H,32,"In the 'Score' column, find the cereal with a value equal to '32' ",Wheat Cream,19
5,DS7_cereal_zebra3.png,23,7,cereal,zebra,3,Retrieve Value,Protein,I,83,"In the 'Protein' column, find the cereal with a value equal to '83' ",Lucky Charms,17
5,DS8_cereal_zebra4.png,24,8,cereal,zebra,4,Retrieve Value,Sodium,K,26,"In the 'Sodium' column, find the cereal with a value equal to '26' ",Wheat Cream,20
5,DS9_candy_plain1.png,41,9,candy,plain,1,Retrieve Value,Bar,J,32,"In the 'Bar' column, find the candy with a value equal to '32' ",Fun Dips,19
5,DS10_candy_plain2.png,42,10,candy,plain,2,Retrieve Value,Chocolate,K,68,"In the 'Chocolate' column, find the candy with a value equal to '68' ",Root Barrels,17
5,DS11_candy_plain3.png,43,11,candy,plain,3,Retrieve Value,Almond,L,26,"In the 'Almond' column, find the candy with a value equal to '26' ",Reese Pieces,11
5,DS12_candy_plain4.png,44,12,candy,plain,4,Retrieve Value,Caramel,K,15,"In the 'Caramel' column, find the candy with a value equal to '15' ",Fruit Chews,15
5,DS13_movie_color1.png,13,13,movie,color,1,Retrieve Value,PluggedIn,J,67,"In the 'PluggedIn' column, find the movie with a value equal to '67' ",Running Night,20
5,DS14_movie_color2.png,14,14,movie,color,2,Retrieve Value,Netflix,I,79,"In the 'Netflix' column, find the movie with a value equal to '79' ",End Tour,18
5,DS15_movie_color3.png,15,15,movie,color,3,Retrieve Value,Naver,L,73,"In the 'Naver' column, find the movie with a value equal to '73' ",Love Mercy,19
5,DS16_movie_color4.png,16,16,movie,color,4,Retrieve Value,Hulu,K,31,"In the 'Hulu' column, find the movie with a value equal to '31' ",Ricki Flash,17
