Task ID,Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task,Header,Column,Par,Prompt,Answer,Answer_Column_or_Row
1,DS16_movie_bar4.png,64,16,movie,bar,4,Filter,Netflix,G,57.0,"In the 'Netflix' column, count how many cells exceed the value of '57' ",6,G
2,DS1_anime_zebra1.png,17,1,anime,zebra,1,Correlation,Episodes,C,0.909210283,Determine which of the last 5 columns is most positively correalated with the first column named 'Episodes' ,Completed,I
2,DS2_anime_zebra2.png,18,2,anime,zebra,2,Correlation,Plan to Watch,C,0.942863334,Determine which of the last 5 columns is most positively correalated with the first column named 'Plan to Watch' ,Favorites,L
2,DS3_anime_zebra3.png,19,3,anime,zebra,3,Correlation,Completed,C,0.973062733,Determine which of the last 5 columns is most positively correalated with the first column named 'Completed' ,Episodes,K
2,DS4_anime_zebra4.png,20,4,anime,zebra,4,Correlation,Score,C,0.954489514,Determine which of the last 5 columns is most positively correalated with the first column named 'Score' ,Dropped,J
2,DS5_cereal_plain1.png,37,5,cereal,plain,1,Correlation,Potassium,C,0.918483604,Determine which of the last 5 columns is most positively correalated with the first column named 'Potassium' ,Sugars,K
2,DS6_cereal_plain2.png,38,6,cereal,plain,2,Correlation,Calories,C,0.950482702,Determine which of the last 5 columns is most positively correalated with the first column named 'Calories' ,Protein,I
2,DS7_cereal_plain3.png,39,7,cereal,plain,3,Correlation,Iron,C,0.915948706,Determine which of the last 5 columns is most positively correalated with the first column named 'Iron' ,Carbo,J
2,DS8_cereal_plain4.png,40,8,cereal,plain,4,Correlation,Vitamins,C,0.909418419,Determine which of the last 5 columns is most positively correalated with the first column named 'Vitamins' ,Potassium,L
2,DS9_candy_color1.png,9,9,candy,color,1,Correlation,Hard,C,0.952484022,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Chocolate,L
2,DS10_candy_color2.png,10,10,candy,color,2,Correlation,SugarPercent,C,0.910224308,Determine which of the last 5 columns is most positively correalated with the first column named 'SugarPercent' ,Rating,J
2,DS11_candy_color3.png,11,11,candy,color,3,Correlation,Rating,C,0.922893998,Determine which of the last 5 columns is most positively correalated with the first column named 'Rating' ,Chocolate,K
2,DS12_candy_color4.png,12,12,candy,color,4,Correlation,Hard,C,0.95087863,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Nougat,I
2,DS13_movie_bar1.png,61,13,movie,bar,1,Correlation,Naver,C,0.969706206,Determine which of the last 5 columns is most positively correalated with the first column named 'Naver' ,Roger Ebert,I
2,DS14_movie_bar2.png,62,14,movie,bar,2,Correlation,MrQE,C,0.932265726,Determine which of the last 5 columns is most positively correalated with the first column named 'MrQE' ,Netflix,L
2,DS15_movie_bar3.png,63,15,movie,bar,3,Correlation,RottenTomatoes,C,0.916798911,Determine which of the last 5 columns is most positively correalated with the first column named 'RottenTomatoes' ,Netflix,K
2,DS16_movie_bar4.png,64,16,movie,bar,4,Correlation,IMDB,C,0.972832768,Determine which of the last 5 columns is most positively correalated with the first column named 'IMDB' ,Fandango,J
3,DS1_anime_zebra1.png,17,1,anime,zebra,1,Sort,Completed,L,60 56 53,"In the 'Completed' column, give the row names of the animes with the highest 3 values in descending order ",Hungry Heart-Fighting Animal-Trinity Blood,13 18 27
3,DS2_anime_zebra2.png,18,2,anime,zebra,2,Sort,Favorites,I,88 86 83,"In the 'Favorites' column, give the row names of the animes with the highest 3 values in descending order ",Cursing Notebook-Fourth Stage-Hungry Heart,5 18 6
3,DS3_anime_zebra3.png,19,3,anime,zebra,3,Sort,Episodes,J,75 73 71,"In the 'Episodes' column, give the row names of the animes with the highest 3 values in descending order ",Fighting Animal-Legendary Forks-First Stage,5 10 11
3,DS4_anime_zebra4.png,20,4,anime,zebra,4,Sort,Score,K,74 73 70,"In the 'Score' column, give the row names of the animes with the highest 3 values in descending order ",Helping Alice-Neon Genesis-Queen Kingdom,6 24 22
3,DS5_cereal_plain1.png,37,5,cereal,plain,1,Sort,Carbo,H,88 86 83,"In the 'Carbo' column, give the row names of the cereals with the highest 3 values in descending order ",Oatmeal Crisp-Wheat Cream-Grape Flakes,5 19 20
3,DS6_cereal_plain2.png,38,6,cereal,plain,2,Sort,Potassium,I,71 70 68,"In the 'Potassium' column, give the row names of the cereals with the highest 3 values in descending order ",Corn Favorite-Frosted Flakes-Natural Bran,22 3 7
3,DS7_cereal_plain3.png,39,7,cereal,plain,3,Sort,Score,J,60 56 53,"In the 'Score' column, give the row names of the cereals with the highest 3 values in descending order ",Count Chocula-Wonderful Chex-Almond Delight,7 23 18
3,DS8_cereal_plain4.png,40,8,cereal,plain,4,Sort,Vitamins,K,75 73 71,"In the 'Vitamins' column, give the row names of the cereals with the highest 3 values in descending order ",Froot Loops-Count Chocula-Bran Chex,16 10 19
3,DS9_candy_color1.png,9,9,candy,color,1,Sort,Caramel,I,98 97 95,"In the 'Caramel' column, give the row names of the candys with the highest 3 values in descending order ",Hersheys Kisses-Pixie Sticks-Crunch Time,27 31 20
3,DS10_candy_color2.png,10,10,candy,color,2,Sort,Bar,K,75 73 71,"In the 'Bar' column, give the row names of the candys with the highest 3 values in descending order ",Quarter World-Caramel Apple-Life Savers,31 8 26
3,DS11_candy_color3.png,11,11,candy,color,3,Sort,Bar,H,98 84 80,"In the 'Bar' column, give the row names of the candys with the highest 3 values in descending order ",Gob Stopper-One Dime-Red Vines,22 30 14
3,DS12_candy_color4.png,12,12,candy,color,4,Sort,Fruity,L,60 56 53,"In the 'Fruity' column, give the row names of the candys with the highest 3 values in descending order ",Laffy Taffy-Good Bar-Milk Duds,9 28 12
3,DS13_movie_bar1.png,61,13,movie,bar,1,Sort,Roger Ebert,I,71 70 68,"In the 'Roger Ebert' column, give the row names of the movies with the highest 3 values in descending order ",Adaline Age-Project Almanac-Ricki Flash,21 16 17
3,DS14_movie_bar2.png,62,14,movie,bar,2,Sort,Metacritic,K,75 73 71,"In the 'Metacritic' column, give the row names of the movies with the highest 3 values in descending order ",Fantastic Four-Flights Up-Hunting Ground,5 21 20
3,DS15_movie_bar3.png,63,15,movie,bar,3,Sort,FilmComment,H,98 84 80,"In the 'FilmComment' column, give the row names of the movies with the highest 3 values in descending order ",South Paw-Next Door-Black Sea,10 9 20
3,DS16_movie_bar4.png,64,16,movie,bar,4,Sort,Fandango,J,71 70 68,"In the 'Fandango' column, give the row names of the movies with the highest 3 values in descending order ",Wild Tales-End Tour-Tomorrow land,18 6 10
4,DS1_anime_zebra1.png,17,1,anime,zebra,1,Estimate Average,Episodes,D,,"In the 'Episodes' column, calculate a rough estimate of the average value",28.89655172,D
4,DS2_anime_zebra2.png,18,2,anime,zebra,2,Estimate Average,Members,F,,"In the 'Members' column, calculate a rough estimate of the average value",62.37931034,F
4,DS3_anime_zebra3.png,19,3,anime,zebra,3,Estimate Average,Completed,E,,"In the 'Completed' column, calculate a rough estimate of the average value",37.86206897,E
4,DS4_anime_zebra4.png,20,4,anime,zebra,4,Estimate Average,Members,G,,"In the 'Members' column, calculate a rough estimate of the average value",47.65517241,G
4,DS5_cereal_plain1.png,37,5,cereal,plain,1,Estimate Average,Sugars,F,,"In the 'Sugars' column, calculate a rough estimate of the average value",56.93103448,F
4,DS6_cereal_plain2.png,38,6,cereal,plain,2,Estimate Average,Score,E,,"In the 'Score' column, calculate a rough estimate of the average value",42.10344828,E
4,DS7_cereal_plain3.png,39,7,cereal,plain,3,Estimate Average,Vitamins,D,,"In the 'Vitamins' column, calculate a rough estimate of the average value",35.62068966,D
4,DS8_cereal_plain4.png,40,8,cereal,plain,4,Estimate Average,Potassium,E,,"In the 'Potassium' column, calculate a rough estimate of the average value",52.31034483,E
4,DS9_candy_color1.png,9,9,candy,color,1,Estimate Average,Price,G,,"In the 'Price' column, calculate a rough estimate of the average value",37.86206897,G
4,DS10_candy_color2.png,10,10,candy,color,2,Estimate Average,Pluribus,D,,"In the 'Pluribus' column, calculate a rough estimate of the average value",35.62068966,D
4,DS11_candy_color3.png,11,11,candy,color,3,Estimate Average,Nougat,F,,"In the 'Nougat' column, calculate a rough estimate of the average value",50.24137931,F
4,DS12_candy_color4.png,12,12,candy,color,4,Estimate Average,Price,G,,"In the 'Price' column, calculate a rough estimate of the average value",37.86206897,G
4,DS13_movie_bar1.png,61,13,movie,bar,1,Estimate Average,Metacritic,E,,"In the 'Metacritic' column, calculate a rough estimate of the average value",52.31034483,E
4,DS14_movie_bar2.png,62,14,movie,bar,2,Estimate Average,Fandango,G,,"In the 'Fandango' column, calculate a rough estimate of the average value",37.86206897,G
4,DS15_movie_bar3.png,63,15,movie,bar,3,Estimate Average,Metacritic,F,,"In the 'Metacritic' column, calculate a rough estimate of the average value",50.24137931,F
4,DS16_movie_bar4.png,64,16,movie,bar,4,Estimate Average,Hulu,E,,"In the 'Hulu' column, calculate a rough estimate of the average value",52.31034483,E
5,DS1_anime_zebra1.png,17,1,anime,zebra,1,Retrieve Value,Popularity,G,15,"In the 'Popularity' column, find the anime with a value equal to '15' ",Attacking Titan,16
5,DS2_anime_zebra2.png,18,2,anime,zebra,2,Retrieve Value,On-Hold,H,26,"In the 'On-Hold' column, find the anime with a value equal to '26' ",Helping Alice,20
5,DS3_anime_zebra3.png,19,3,anime,zebra,3,Retrieve Value,Watching,I,17,"In the 'Watching' column, find the anime with a value equal to '17' ",Beating Music,16
5,DS4_anime_zebra4.png,20,4,anime,zebra,4,Retrieve Value,On-Hold,J,12,"In the 'On-Hold' column, find the anime with a value equal to '12' ",Fafnar Weapon,18
5,DS5_cereal_plain1.png,37,5,cereal,plain,1,Retrieve Value,Sodium,K,51,"In the 'Sodium' column, find the cereal with a value equal to '51' ",Bran Chex,17
5,DS6_cereal_plain2.png,38,6,cereal,plain,2,Retrieve Value,Carbo,H,32,"In the 'Carbo' column, find the cereal with a value equal to '32' ",Double Chex,19
5,DS7_cereal_plain3.png,39,7,cereal,plain,3,Retrieve Value,Protein,I,83,"In the 'Protein' column, find the cereal with a value equal to '83' ",Smile Maker,17
5,DS8_cereal_plain4.png,40,8,cereal,plain,4,Retrieve Value,Vitamins,K,26,"In the 'Vitamins' column, find the cereal with a value equal to '26' ",Frosted Flakes,20
5,DS9_candy_color1.png,9,9,candy,color,1,Retrieve Value,Bar,J,32,"In the 'Bar' column, find the candy with a value equal to '32' ",Jaw Busters,19
5,DS10_candy_color2.png,10,10,candy,color,2,Retrieve Value,Bar,K,68,"In the 'Bar' column, find the candy with a value equal to '68' ",Haribo Cola,17
5,DS11_candy_color3.png,11,11,candy,color,3,Retrieve Value,SugarPercent,L,26,"In the 'SugarPercent' column, find the candy with a value equal to '26' ",Hersheys Kisses,11
5,DS12_candy_color4.png,12,12,candy,color,4,Retrieve Value,Pluribus,K,15,"In the 'Pluribus' column, find the candy with a value equal to '15' ",Red Vines,15
5,DS13_movie_bar1.png,61,13,movie,bar,1,Retrieve Value,IMDB,J,67,"In the 'IMDB' column, find the movie with a value equal to '67' ",South Paw,20
5,DS14_movie_bar2.png,62,14,movie,bar,2,Retrieve Value,Hulu,I,79,"In the 'Hulu' column, find the movie with a value equal to '79' ",Saint Laurent,18
5,DS15_movie_bar3.png,63,15,movie,bar,3,Retrieve Value,Naver,L,73,"In the 'Naver' column, find the movie with a value equal to '73' ",End Tour,19
5,DS16_movie_bar4.png,64,16,movie,bar,4,Retrieve Value,FilmComment,K,31,"In the 'FilmComment' column, find the movie with a value equal to '31' ",Next Door,17
