Task ID,Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task,T_Header,T_Column,T_Par,T_Prompt,T_Answer,T_Answer_Column_or_Row
3,"DS16_movie_zebra4.png",32,16,movie,zebra,4,Sort,T3_Header,Naver,J,71 70 68,"In the 'Naver' column, give the row names of the movies with the highest 3 values in descending order ",Wild Tales-Teenage Girl -My Dreams
4,"DS1_anime_bar1.png",49,1,anime,bar,1,Estimate Average,T4_Header,Plan to Watch,D,,"In the 'Plan to Watch' column, calculate a rough estimate of the average value",28.89655172
4,"DS2_anime_bar2.png",50,2,anime,bar,2,Estimate Average,T4_Header,Popularity,F,,"In the 'Popularity' column, calculate a rough estimate of the average value",62.37931034
4,"DS3_anime_bar3.png",51,3,anime,bar,3,Estimate Average,T4_Header,Watching,E,,"In the 'Watching' column, calculate a rough estimate of the average value",37.86206897
4,"DS4_anime_bar4.png",52,4,anime,bar,4,Estimate Average,T4_Header,Members,G,,"In the 'Members' column, calculate a rough estimate of the average value",47.65517241
4,"DS5_cereal_color1.png",5,5,cereal,color,1,Estimate Average,T4_Header,Vitamins,F,,"In the 'Vitamins' column, calculate a rough estimate of the average value",56.93103448
4,"DS6_cereal_color2.png",6,6,cereal,color,2,Estimate Average,T4_Header,Score,E,,"In the 'Score' column, calculate a rough estimate of the average value",42.10344828
4,"DS7_cereal_color3.png",7,7,cereal,color,3,Estimate Average,T4_Header,Fat,D,,"In the 'Fat' column, calculate a rough estimate of the average value",35.62068966
4,"DS8_cereal_color4.png",8,8,cereal,color,4,Estimate Average,T4_Header,Calories,E,,"In the 'Calories' column, calculate a rough estimate of the average value",52.31034483
4,"DS9_candy_plain1.png",41,9,candy,plain,1,Estimate Average,T4_Header,Caramel,G,,"In the 'Caramel' column, calculate a rough estimate of the average value",37.86206897
4,"DS10_candy_plain2.png",42,10,candy,plain,2,Estimate Average,T4_Header,Almond,D,,"In the 'Almond' column, calculate a rough estimate of the average value",35.62068966
4,"DS11_candy_plain3.png",43,11,candy,plain,3,Estimate Average,T4_Header,Caramel,F,,"In the 'Caramel' column, calculate a rough estimate of the average value",50.24137931
4,"DS12_candy_plain4.png",44,12,candy,plain,4,Estimate Average,T4_Header,Fruity,G,,"In the 'Fruity' column, calculate a rough estimate of the average value",37.86206897
4,"DS13_movie_zebra1.png",29,13,movie,zebra,1,Estimate Average,T4_Header,MrQE,E,,"In the 'MrQE' column, calculate a rough estimate of the average value",52.31034483
4,"DS14_movie_zebra2.png",30,14,movie,zebra,2,Estimate Average,T4_Header,IMDB,G,,"In the 'IMDB' column, calculate a rough estimate of the average value",37.86206897
4,"DS15_movie_zebra3.png",31,15,movie,zebra,3,Estimate Average,T4_Header,Netflix,F,,"In the 'Netflix' column, calculate a rough estimate of the average value",50.24137931
4,"DS16_movie_zebra4.png",32,16,movie,zebra,4,Estimate Average,T4_Header,Roger Ebert,E,,"In the 'Roger Ebert' column, calculate a rough estimate of the average value",52.31034483
5,"DS1_anime_bar1.png",49,1,anime,bar,1,Retrieve Value,T5_Header,Ranked,G,15,"In the 'Ranked' column, find the anime with a value equal to '15' ",Best Humanity
5,"DS2_anime_bar2.png",50,2,anime,bar,2,Retrieve Value,T5_Header,Watching,H,26,"In the 'Watching' column, find the anime with a value equal to '26' ",Queen Kingdom
5,"DS3_anime_bar3.png",51,3,anime,bar,3,Retrieve Value,T5_Header,Plan to Watch,I,17,"In the 'Plan to Watch' column, find the anime with a value equal to '17' ",Great Teacher
5,"DS4_anime_bar4.png",52,4,anime,bar,4,Retrieve Value,T5_Header,Popularity,J,12,"In the 'Popularity' column, find the anime with a value equal to '12' ",Helping Alice
5,"DS5_cereal_color1.png",5,5,cereal,color,1,Retrieve Value,T5_Header,Iron,K,51,"In the 'Iron' column, find the cereal with a value equal to '51' ",Corn Favorite
5,"DS6_cereal_color2.png",6,6,cereal,color,2,Retrieve Value,T5_Header,Carbo,H,32,"In the 'Carbo' column, find the cereal with a value equal to '32' ",Fruity Pebbles
5,"DS7_cereal_color3.png",7,7,cereal,color,3,Retrieve Value,T5_Header,Potassium,I,83,"In the 'Potassium' column, find the cereal with a value equal to '83' ",Corn Favorite
5,"DS8_cereal_color4.png",8,8,cereal,color,4,Retrieve Value,T5_Header,Fat,K,26,"In the 'Fat' column, find the cereal with a value equal to '26' ",Wonderful Chex
5,"DS9_candy_plain1.png",41,9,candy,plain,1,Retrieve Value,T5_Header,Bar,J,32,"In the 'Bar' column, find the candy with a value equal to '32' ",Fun Dips
5,"DS10_candy_plain2.png",42,10,candy,plain,2,Retrieve Value,T5_Header,Chocolate,K,68,"In the 'Chocolate' column, find the candy with a value equal to '68' ",Root Barrels
5,"DS11_candy_plain3.png",43,11,candy,plain,3,Retrieve Value,T5_Header,Almond,L,26,"In the 'Almond' column, find the candy with a value equal to '26' ",Reese Pieces
5,"DS12_candy_plain4.png",44,12,candy,plain,4,Retrieve Value,T5_Header,Caramel,K,15,"In the 'Caramel' column, find the candy with a value equal to '15' ",Fruit Chews
5,"DS13_movie_zebra1.png",29,13,movie,zebra,1,Retrieve Value,T5_Header,FilmComment,J,67,"In the 'FilmComment' column, find the movie with a value equal to '67' ",Black Sea
5,"DS14_movie_zebra2.png",30,14,movie,zebra,2,Retrieve Value,T5_Header,PluggedIn,I,79,"In the 'PluggedIn' column, find the movie with a value equal to '79' ",Hot Pursuit
5,"DS15_movie_zebra3.png",31,15,movie,zebra,3,Retrieve Value,T5_Header,Naver,L,73,"In the 'Naver' column, find the movie with a value equal to '73' ",South Paw
5,"DS16_movie_zebra4.png",32,16,movie,zebra,4,Retrieve Value,T5_Header,FilmComment,K,31,"In the 'FilmComment' column, find the movie with a value equal to '31' ",Fantastic Four
