1Header, 1Column,1Par 1,1Prompt ,1Answer,1Answer Column / Row
Members,K,74 73 70,"In the 'Members' column, give the row names of the animes with the highest 3 values in descending order ",Different Life-Fafnar Weapon-Travel World,6 24 22
Vitamins,H,88 86 83,"In the 'Vitamins' column, give the row names of the cereals with the highest 3 values in descending order ",Cap Crunch-Corn Favorite-Raisin Bran,5 19 20
Protein,I,71 70 68,"In the 'Protein' column, give the row names of the cereals with the highest 3 values in descending order ",Smile Maker-Natural Bran-Fruity Pebbles,22 3 7
Carbo,J,60 56 53,"In the 'Carbo' column, give the row names of the cereals with the highest 3 values in descending order ",Cinnamon Toast-Cap Crunch-Mini Wheats,7 23 18
Sodium,K,75 73 71,"In the 'Sodium' column, give the row names of the cereals with the highest 3 values in descending order ",Wonderful Chex-Bran Chex-Raisin Bran,16 10 19
SugarPercent,H,98 84 80,"In the 'SugarPercent' column, give the row names of the candys with the highest 3 values in descending order ",Gold Bears-Milk Duds-Berry Chews,30 9 11
Chocolate,K,75 73 71,"In the 'Chocolate' column, give the row names of the candys with the highest 3 values in descending order ",Milk Duds-Fruit Chews-Now Later,31 8 26
Almond,L,75 73 71,"In the 'Almond' column, give the row names of the candys with the highest 3 values in descending order ",Pop Rocks-Pixie Sticks-Junior Mints,27 12 28
Pluribus,J,98 97 95,"In the 'Pluribus' column, give the row names of the candys with the highest 3 values in descending order ",Milk Duds-Boston Beans-Hersheys Kisses,30 19 16
Roger Ebert,I,71 70 68,"In the 'Roger Ebert' column, give the row names of the movies with the highest 3 values in descending order ",Adaline Age-Project Almanac-Ricki Flash,21 16 17
Metacritic,K,75 73 71,"In the 'Metacritic' column, give the row names of the movies with the highest 3 values in descending order ",Fantastic Four-Flights Up-Hunting Ground,5 21 20
Film Comment,H,98 84 80,"In the 'Film Comment' column, give the row names of the movies with the highest 3 values in descending order ",South Paw-Next Door-Black Sea,10 9 20
Fandango,J,71 70 68,"In the 'Fandango' column, give the row names of the movies with the highest 3 values in descending order ",Wild Tales-End Tour-Tomorrow land,18 6 10
Score,D,,"In the 'Score' column, calculate a rough estimate of the average value",28.89655172413793,D
Episodes,F,,"In the 'Episodes' column, calculate a rough estimate of the average value",62.37931034482759,F
Members,E,,"In the 'Members' column, calculate a rough estimate of the average value",37.86206896551724,E
Favorites,G,,"In the 'Favorites' column, calculate a rough estimate of the average value",47.6551724137931,G
Fiber,F,,"In the 'Fiber' column, calculate a rough estimate of the average value",56.93103448275862,F
Fiber,G,,"In the 'Fiber' column, calculate a rough estimate of the average value",52.310344827586206,G
Sugars,D,,"In the 'Sugars' column, calculate a rough estimate of the average value",35.62068965517241,D
Score,E,,"In the 'Score' column, calculate a rough estimate of the average value",52.310344827586206,E
Caramel,G,,"In the 'Caramel' column, calculate a rough estimate of the average value",37.86206896551724,G
Almond,D,,"In the 'Almond' column, calculate a rough estimate of the average value",35.62068965517241,D
Caramel,F,,"In the 'Caramel' column, calculate a rough estimate of the average value",50.241379310344826,F
Fruity,G,,"In the 'Fruity' column, calculate a rough estimate of the average value",37.86206896551724,G
Metacritic,E,,"In the 'Metacritic' column, calculate a rough estimate of the average value",52.310344827586206,E
Fandango,G,,"In the 'Fandango' column, calculate a rough estimate of the average value",37.86206896551724,G
Metacritic,F,,"In the 'Metacritic' column, calculate a rough estimate of the average value",50.241379310344826,F
Hulu,E,,"In the 'Hulu' column, calculate a rough estimate of the average value",52.310344827586206,E
Members,G,15,"In the 'Members' column, find the anime with a value equal to '15' ",Metal Panic,16
Ranked,H,26,"In the 'Ranked' column, find the anime with a value equal to '26' ",Monster Hunter,20
Dropped,I,17,"In the 'Dropped' column, find the anime with a value equal to '17' ",Magical Warfare,16
Dropped,J,12,"In the 'Dropped' column, find the anime with a value equal to '12' ",Metal Panic,18
Sugars,K,51,"In the 'Sugars' column, find the cereal with a value equal to '51' ",Wonderful Chex,17
Score,H,32,"In the 'Score' column, find the cereal with a value equal to '32' ",Wheat Cream,19
Protein,I,83,"In the 'Protein' column, find the cereal with a value equal to '83' ",Lucky Charms,17
Sodium,K,26,"In the 'Sodium' column, find the cereal with a value equal to '26' ",Wheat Cream,20
Bar,J,32,"In the 'Bar' column, find the candy with a value equal to '32' ",Fun Dips,19
Chocolate,K,68,"In the 'Chocolate' column, find the candy with a value equal to '68' ",Root Barrels,17
Almond,L,26,"In the 'Almond' column, find the candy with a value equal to '26' ",Reese Pieces,11
Caramel,K,15,"In the 'Caramel' column, find the candy with a value equal to '15' ",Fruit Chews,15
IMDB,J,67,"In the 'IMDB' column, find the movie with a value equal to '67' ",South Paw,20
Hulu,I,79,"In the 'Hulu' column, find the movie with a value equal to '79' ",Saint Laurent,18
Naver,L,73,"In the 'Naver' column, find the movie with a value equal to '73' ",End Tour,19
Film Comment,K,31,"In the 'Film Comment' column, find the movie with a value equal to '31' ",Next Door,17
