2Header,2Column,2Par 1,2Prompt , 2Answer, 2Answer Column / Row
Rating,L,75 73 71,"In the 'Rating' column, give the row names of the candys with the highest 3 values in descending order ",Milk Duds-Air Heads-Caramel Apple,27 12 28
Almond,J,98 97 95,"In the 'Almond' column, give the row names of the candys with the highest 3 values in descending order ",Reese Pieces-Cheese Bears-Berry Chews,30 19 16
Roger Ebert,I,71 70 68,"In the 'Roger Ebert' column, give the row names of the movies with the highest 3 values in descending order ",End Tour-Black White-My Dreams,21 16 17
Fandango,K,75 73 71,"In the 'Fandango' column, give the row names of the movies with the highest 3 values in descending order ",Black Sea-Water Diviner-Hunting Ground,5 21 20
RottenTomatoes,H,98 84 80,"In the 'RottenTomatoes' column, give the row names of the movies with the highest 3 values in descending order ",Crazy Adventure-Fantastic Four-Black Sea,10 9 20
Naver,J,71 70 68,"In the 'Naver' column, give the row names of the movies with the highest 3 values in descending order ",Wild Tales-Teenage Girl -My Dreams,18 6 10

Score,D,,"In the 'Score' column, calculate a rough estimate of the average value",28.89655172413793,D
Episodes,F,,"In the 'Episodes' column, calculate a rough estimate of the average value",62.37931034482759,F
Members,E,,"In the 'Members' column, calculate a rough estimate of the average value",37.86206896551724,E
Favorites,G,,"In the 'Favorites' column, calculate a rough estimate of the average value",47.6551724137931,G
Sugars,F,,"In the 'Sugars' column, calculate a rough estimate of the average value",56.93103448275862,F
Score,E,,"In the 'Score' column, calculate a rough estimate of the average value",42.10344827586207,E
Vitamins,D,,"In the 'Vitamins' column, calculate a rough estimate of the average value",35.62068965517241,D
Potassium,E,,"In the 'Potassium' column, calculate a rough estimate of the average value",52.310344827586206,E
Chocolate,G,,"In the 'Chocolate' column, calculate a rough estimate of the average value",37.86206896551724,G
Nougat,D,,"In the 'Nougat' column, calculate a rough estimate of the average value",35.62068965517241,D
Fruity,F,,"In the 'Fruity' column, calculate a rough estimate of the average value",50.241379310344826,F
SugarPercent,G,,"In the 'SugarPercent' column, calculate a rough estimate of the average value",37.86206896551724,G
MrQE,E,,"In the 'MrQE' column, calculate a rough estimate of the average value",52.310344827586206,E
IMDB,G,,"In the 'IMDB' column, calculate a rough estimate of the average value",37.86206896551724,G
Netflix,F,,"In the 'Netflix' column, calculate a rough estimate of the average value",50.241379310344826,F
Roger Ebert,E,,"In the 'Roger Ebert' column, calculate a rough estimate of the average value",52.310344827586206,E

Members,G,15,"In the 'Members' column, find the  with a value equal to '15' ",Metal Panic,16
Ranked,H,26,"In the 'Ranked' column, find the  with a value equal to '26' ",Monster Hunter,20
Dropped,I,17,"In the 'Dropped' column, find the  with a value equal to '17' ",Magical Warfare,16
Dropped,J,12,"In the 'Dropped' column, find the  with a value equal to '12' ",Metal Panic,18
Sodium,K,51,"In the 'Sodium' column, find the  with a value equal to '51' ",Bran Chex,17
Carbo,H,32,"In the 'Carbo' column, find the  with a value equal to '32' ",Double Chex,19
Protein,I,83,"In the 'Protein' column, find the  with a value equal to '83' ",Smile Maker,17
Vitamins,K,26,"In the 'Vitamins' column, find the  with a value equal to '26' ",Frosted Flakes,20
Pluribus,J,32,"In the 'Pluribus' column, find the  with a value equal to '32' ",Pixie Sticks,19
Price,K,68,"In the 'Price' column, find the  with a value equal to '68' ",Hersheys Kisses,17
Rating,L,26,"In the 'Rating' column, find the  with a value equal to '26' ",Fruit Chews,11
Rating,K,15,"In the 'Rating' column, find the  with a value equal to '15' ",Quarter World,15
Film Comment,J,67,"In the 'Film Comment' column, find the  with a value equal to '67' ",Black Sea,20
PluggedIn,I,79,"In the 'PluggedIn' column, find the  with a value equal to '79' ",Hot Pursuit,18
Naver,L,73,"In the 'Naver' column, find the  with a value equal to '73' ",South Paw,19
Film Comment,K,31,"In the 'Film Comment' column, find the  with a value equal to '31' ",Fantastic Four,17

