Header1, Column,Par 1, Prompt , Answer,Answer Column / Row1
Members,K,74 73 70,"In the 'Members' column, give the row names of the animes with the highest 3 values in descending order ",Travel World,Different Life-Fafnar Weapon-Travel World,6 24 22
Calories,H,88 86 83,"In the 'Calories' column, give the row names of the cereals with the highest 3 values in descending order ",Wonderful Chex,Lucky Charms-Smile Maker-Wonderful Chex,5 19 20
Potassium,I,71 70 68,"In the 'Potassium' column, give the row names of the cereals with the highest 3 values in descending order ",Post Nat,Froot Loops-Almond Delight-Post Nat,22 3 7
Carbo,J,60 56 53,"In the 'Carbo' column, give the row names of the cereals with the highest 3 values in descending order ",Cap Crunch,Fruity Pebbles-Colorful Bran-Cap Crunch,7 23 18
Sugars,K,75 73 71,"In the 'Sugars' column, give the row names of the cereals with the highest 3 values in descending order ",Colorful Bran,Cap Crunch-Fruit Fibre-Colorful Bran,16 10 19
SugarPercent,H,98 84 80,"In the 'SugarPercent' column, give the row names of the candys with the highest 3 values in descending order ",Berry Chews,Gold Bears-Milk Duds-Berry Chews,30 9 11
Chocolate,K,75 73 71,"In the 'Chocolate' column, give the row names of the candys with the highest 3 values in descending order ",Now Later,Milk Duds-Fruit Chews-Now Later,31 8 26
Almond,L,75 73 71,"In the 'Almond' column, give the row names of the candys with the highest 3 values in descending order ",Junior Mints,Pop Rocks-Pixie Sticks-Junior Mints,27 12 28
Pluribus,J,98 97 95,"In the 'Pluribus' column, give the row names of the candys with the highest 3 values in descending order ",Hersheys Kisses,Milk Duds-Boston Beans-Hersheys Kisses,30 19 16
Roger Ebert,I,71 70 68,"In the 'Roger Ebert' column, give the row names of the movies with the highest 3 values in descending order ",My Dreams,End Tour-Black White-My Dreams,21 16 17
Fandango,K,75 73 71,"In the 'Fandango' column, give the row names of the movies with the highest 3 values in descending order ",Hunting Ground,Black Sea-Water Diviner-Hunting Ground,5 21 20
RottenTomatoes,H,98 84 80,"In the 'RottenTomatoes' column, give the row names of the movies with the highest 3 values in descending order ",Black Sea,Crazy Adventure-Fantastic Four-Black Sea,10 9 20
Naver,J,71 70 68,"In the 'Naver' column, give the row names of the movies with the highest 3 values in descending order ",My Dreams,Wild Tales-Teenage Girl -My Dreams,18 6 10
Score,D,,"In the 'Score' column, calculate a rough estimate of the average value",28.89655172413793,D
Episodes,F,,"In the 'Episodes' column, calculate a rough estimate of the average value",66.90214352283319,F
Members,E,,"In the 'Members' column, calculate a rough estimate of the average value",37.86206896551724,E
Favorites,G,,"In the 'Favorites' column, calculate a rough estimate of the average value",47.6551724137931,G
Vitamins,F,,"In the 'Vitamins' column, calculate a rough estimate of the average value",56.93103448275862,F
Calories,E,,"In the 'Calories' column, calculate a rough estimate of the average value",42.10344827586207,E
Sugars,D,,"In the 'Sugars' column, calculate a rough estimate of the average value",35.62068965517241,D
Calories,E,,"In the 'Calories' column, calculate a rough estimate of the average value",52.310344827586206,E
Caramel,G,,"In the 'Caramel' column, calculate a rough estimate of the average value",37.86206896551724,G
Almond,D,,"In the 'Almond' column, calculate a rough estimate of the average value",35.62068965517241,D
Caramel,F,,"In the 'Caramel' column, calculate a rough estimate of the average value",50.241379310344826,F
Fruity,G,,"In the 'Fruity' column, calculate a rough estimate of the average value",37.86206896551724,G
MrQE,E,,"In the 'MrQE' column, calculate a rough estimate of the average value",52.310344827586206,E
IMDB,G,,"In the 'IMDB' column, calculate a rough estimate of the average value",37.86206896551724,G
Netflix,F,,"In the 'Netflix' column, calculate a rough estimate of the average value",50.241379310344826,F
Roger Ebert,E,,"In the 'Roger Ebert' column, calculate a rough estimate of the average value",52.310344827586206,E
Members,G,15,"In the 'Members' column, find the anime with a value equal to '15' ",Metal Panic,16
Ranked,H,26,"In the 'Ranked' column, find the anime with a value equal to '26' ",Monster Hunter,20
Dropped,I,17,"In the 'Dropped' column, find the anime with a value equal to '17' ",Magical Warfare,16
Dropped,J,12,"In the 'Dropped' column, find the anime with a value equal to '12' ",Metal Panic,18
Protein,K,51,"In the 'Protein' column, find the cereal with a value equal to '51' ",Mini Wheats,17
Sodium,H,32,"In the 'Sodium' column, find the cereal with a value equal to '32' ",Colorful Bran,19
Calories,I,83,"In the 'Calories' column, find the cereal with a value equal to '83' ",Corn Favorite,17
Sugars,K,26,"In the 'Sugars' column, find the cereal with a value equal to '26' ",Double Chex,20
Bar,J,32,"In the 'Bar' column, find the candy with a value equal to '32' ",Fun Dips,19
Chocolate,K,68,"In the 'Chocolate' column, find the candy with a value equal to '68' ",Root Barrels,17
Almond,L,26,"In the 'Almond' column, find the candy with a value equal to '26' ",Reese Pieces,11
Caramel,K,15,"In the 'Caramel' column, find the candy with a value equal to '15' ",Fruit Chews,15
Film Comment,J,67,"In the 'Film Comment' column, find the movie with a value equal to '67' ",Black Sea,20
PluggedIn,I,79,"In the 'PluggedIn' column, find the movie with a value equal to '79' ",Hot Pursuit,18
Naver,L,73,"In the 'Naver' column, find the movie with a value equal to '73' ",South Paw,19
Film Comment,K,31,"In the 'Film Comment' column, find the movie with a value equal to '31' ",Fantastic Four,17
