task id,Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task,1Header, 1Column,1Par 1,1Prompt ,1Answer,1Answer Column / Row,2Header,2Column,2Par 1,2Prompt , 2Answer, 2Answer Column / Row
1.0,DS11_candy_plain3.png,43.0,11.0,candy,plain,3.0,Filter,Pluribus,G,50.0,"In the 'Pluribus' column, count how many cells exceed the value of '50' ",7.0,G,Rating,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'Rating' ,Chocolate,K
1.0,DS12_candy_plain4.png,44.0,12.0,candy,plain,4.0,Filter,Nougat,I,57.0,"In the 'Nougat' column, count how many cells exceed the value of '57' ",6.0,I,Hard,C,0.992274757693407,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Nougat,I
1.0,DS13_movie_bar1.png,61.0,13.0,movie,bar,1.0,Filter,Fandango,H,70.0,"In the 'Fandango' column, count how many cells exceed the value of '70' ",5.0,H,Naver,C,0.9922747576934072,Determine which of the last 5 columns is most positively correalated with the first column named 'Naver' ,Roger Ebert,I
1.0,DS14_movie_bar2.png,62.0,14.0,movie,bar,2.0,Filter,Hulu,I,76.0,"In the 'Hulu' column, count how many cells exceed the value of '76' ",8.0,I,MrQE,C,0.9994148327618346,Determine which of the last 5 columns is most positively correalated with the first column named 'MrQE' ,Netflix,L
1.0,DS15_movie_bar3.png,63.0,15.0,movie,bar,3.0,Filter,PluggedIn,J,54.0,"In the 'PluggedIn' column, count how many cells exceed the value of '54' ",7.0,J,RottenTomatoes,C,0.9994148327618346,Determine which of the last 5 columns is most positively correalated with the first column named 'RottenTomatoes' ,Netflix,K
1.0,DS16_movie_bar4.png,64.0,16.0,movie,bar,4.0,Filter,Netflix,G,57.0,"In the 'Netflix' column, count how many cells exceed the value of '57' ",6.0,G,IMDB,C,0.9922747576934068,Determine which of the last 5 columns is most positively correalated with the first column named 'IMDB' ,Fandango,J
2.0,DS1_anime_color1.png,1.0,1.0,anime,color,1.0,Correlation,Watching,J,80.0,"In the 'Watching' column, count how many cells exceed the value of '80' ",7.0,J,Dropped,L,60 56 53,"In the 'Dropped' column, give the row names of the animes with the highest 3 values in descending order ",Fafnar Weapon-Connect Angel-Dragon Ball,13 18 27
,,,,,,,,,,,,,,Popularity,I,88 86 83,"In the 'Popularity' column, give the row names of the animes with the highest 3 values in descending order ",Different Life-Connect Angel-Assassian World,5 18 6
,,,,,,,,,,,,,,On-Hold,J,75 73 71,"In the 'On-Hold' column, give the row names of the animes with the highest 3 values in descending order ",Dragon Ball-Different Life-Connect Angel,5 10 11
,,,,,,,,,,,,,,Members,K,74 73 70,"In the 'Members' column, give the row names of the animes with the highest 3 values in descending order ",Different Life-Fafnar Weapon-Travel World,6 24 22
,,,,,,,,,,,,,,Vitamins,H,88 86 83,"In the 'Vitamins' column, give the row names of the cereals with the highest 3 values in descending order ",Cap Crunch-Corn Favorite-Raisin Bran,5 19 20
,,,,,,,,,,,,,,Protein,I,71 70 68,"In the 'Protein' column, give the row names of the cereals with the highest 3 values in descending order ",Smile Maker-Natural Bran-Fruity Pebbles,22 3 7
,,,,,,,,,,,,,,Carbo,J,60 56 53,"In the 'Carbo' column, give the row names of the cereals with the highest 3 values in descending order ",Cinnamon Toast-Cap Crunch-Mini Wheats,7 23 18
,,,,,,,,,,,,,,Sodium,K,75 73 71,"In the 'Sodium' column, give the row names of the cereals with the highest 3 values in descending order ",Wonderful Chex-Bran Chex-Raisin Bran,16 10 19
,,,,,,,,,,,,,,SugarPercent,H,98 84 80,"In the 'SugarPercent' column, give the row names of the candys with the highest 3 values in descending order ",Gold Bears-Milk Duds-Berry Chews,30 9 11
,,,,,,,,,,,,,,Chocolate,K,75 73 71,"In the 'Chocolate' column, give the row names of the candys with the highest 3 values in descending order ",Milk Duds-Fruit Chews-Now Later,31 8 26
,,,,,,,,,,,,,,Almond,L,75 73 71,"In the 'Almond' column, give the row names of the candys with the highest 3 values in descending order ",Pop Rocks-Pixie Sticks-Junior Mints,27 12 28
,,,,,,,,,,,,,,Pluribus,J,98 97 95,"In the 'Pluribus' column, give the row names of the candys with the highest 3 values in descending order ",Milk Duds-Boston Beans-Hersheys Kisses,30 19 16
,,,,,,,,,,,,,,Roger Ebert,I,71 70 68,"In the 'Roger Ebert' column, give the row names of the movies with the highest 3 values in descending order ",Adaline Age-Project Almanac-Ricki Flash,21 16 17
,,,,,,,,,,,,,,Metacritic,K,75 73 71,"In the 'Metacritic' column, give the row names of the movies with the highest 3 values in descending order ",Fantastic Four-Flights Up-Hunting Ground,5 21 20
,,,,,,,,,,,,,,Film Comment,H,98 84 80,"In the 'Film Comment' column, give the row names of the movies with the highest 3 values in descending order ",South Paw-Next Door-Black Sea,10 9 20
,,,,,,,,,,,,,,Fandango,J,71 70 68,"In the 'Fandango' column, give the row names of the movies with the highest 3 values in descending order ",Wild Tales-End Tour-Tomorrow land,18 6 10
,,,,,,,,,,,,,,Score,D,,"In the 'Score' column, calculate a rough estimate of the average value",28.89655172413793,D
,,,,,,,,,,,,,,Episodes,F,,"In the 'Episodes' column, calculate a rough estimate of the average value",62.37931034482759,F
,,,,,,,,,,,,,,Members,E,,"In the 'Members' column, calculate a rough estimate of the average value",37.86206896551724,E
,,,,,,,,,,,,,,Favorites,G,,"In the 'Favorites' column, calculate a rough estimate of the average value",47.6551724137931,G
,,,,,,,,,,,,,,Fiber,F,,"In the 'Fiber' column, calculate a rough estimate of the average value",56.93103448275862,F
,,,,,,,,,,,,,,Fiber,G,,"In the 'Fiber' column, calculate a rough estimate of the average value",52.310344827586206,G
,,,,,,,,,,,,,,Sugars,D,,"In the 'Sugars' column, calculate a rough estimate of the average value",35.62068965517241,D
,,,,,,,,,,,,,,Score,E,,"In the 'Score' column, calculate a rough estimate of the average value",52.310344827586206,E
,,,,,,,,,,,,,,Caramel,G,,"In the 'Caramel' column, calculate a rough estimate of the average value",37.86206896551724,G
,,,,,,,,,,,,,,Almond,D,,"In the 'Almond' column, calculate a rough estimate of the average value",35.62068965517241,D
,,,,,,,,,,,,,,Caramel,F,,"In the 'Caramel' column, calculate a rough estimate of the average value",50.241379310344826,F
,,,,,,,,,,,,,,Fruity,G,,"In the 'Fruity' column, calculate a rough estimate of the average value",37.86206896551724,G
,,,,,,,,,,,,,,Metacritic,E,,"In the 'Metacritic' column, calculate a rough estimate of the average value",52.310344827586206,E
,,,,,,,,,,,,,,Fandango,G,,"In the 'Fandango' column, calculate a rough estimate of the average value",37.86206896551724,G
,,,,,,,,,,,,,,Metacritic,F,,"In the 'Metacritic' column, calculate a rough estimate of the average value",50.241379310344826,F
,,,,,,,,,,,,,,Hulu,E,,"In the 'Hulu' column, calculate a rough estimate of the average value",52.310344827586206,E
,,,,,,,,,,,,,,Members,G,15,"In the 'Members' column, find the  with a value equal to '15' ",Metal Panic,16
,,,,,,,,,,,,,,Ranked,H,26,"In the 'Ranked' column, find the  with a value equal to '26' ",Monster Hunter,20
,,,,,,,,,,,,,,Dropped,I,17,"In the 'Dropped' column, find the  with a value equal to '17' ",Magical Warfare,16
,,,,,,,,,,,,,,Dropped,J,12,"In the 'Dropped' column, find the  with a value equal to '12' ",Metal Panic,18
,,,,,,,,,,,,,,Sugars,K,51,"In the 'Sugars' column, find the  with a value equal to '51' ",Wonderful Chex,17
,,,,,,,,,,,,,,Score,H,32,"In the 'Score' column, find the  with a value equal to '32' ",Wheat Cream,19
,,,,,,,,,,,,,,Protein,I,83,"In the 'Protein' column, find the  with a value equal to '83' ",Lucky Charms,17
,,,,,,,,,,,,,,Sodium,K,26,"In the 'Sodium' column, find the  with a value equal to '26' ",Wheat Cream,20
,,,,,,,,,,,,,,Bar,J,32,"In the 'Bar' column, find the  with a value equal to '32' ",Fun Dips,19
,,,,,,,,,,,,,,Chocolate,K,68,"In the 'Chocolate' column, find the  with a value equal to '68' ",Root Barrels,17
,,,,,,,,,,,,,,Almond,L,26,"In the 'Almond' column, find the  with a value equal to '26' ",Reese Pieces,11
,,,,,,,,,,,,,,Caramel,K,15,"In the 'Caramel' column, find the  with a value equal to '15' ",Fruit Chews,15
,,,,,,,,,,,,,,IMDB,J,67,"In the 'IMDB' column, find the  with a value equal to '67' ",South Paw,20
,,,,,,,,,,,,,,Hulu,I,79,"In the 'Hulu' column, find the  with a value equal to '79' ",Saint Laurent,18
,,,,,,,,,,,,,,Naver,L,73,"In the 'Naver' column, find the  with a value equal to '73' ",End Tour,19
,,,,,,,,,,,,,,Film Comment,K,31,"In the 'Film Comment' column, find the  with a value equal to '31' ",Next Door,17
