Task Id,Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task,T-Header,T-Column,T-par1,T-Prompt ,T-answer,Answer-Col-or-Row,T3 A2,T3 col a2,T3 A3,T3 col a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DS8_cereal_color4.png,8,8,cereal,color,4,Correlation,Vitamins,C,,Determine which of the last 5 columns are positively correlated with the column named Vitamins,Sodium,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DS1_anime_bar1.png,49,1,anime,bar,1,Correlation,On-Hold,C,,Determine which of the last 5 columns are positively correlated with the column named On-Hold,Score,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DS2_anime_bar2.png,50,2,anime,bar,2,Correlation,Ranked,C,,Determine which of the last 5 columns are positively correlated with the column named Ranked,Episodes,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DS3_anime_bar3.png,51,3,anime,bar,3,Correlation,Score,C,,Determine which of the last 5 columns are positively correlated with the column named Score,Members,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DS4_anime_bar4.png,52,4,anime,bar,4,Correlation,Favorites,C,,Determine which of the last 5 columns are positively correlated with the column named Favorites,Watching,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DS13_movie_plain1.png,45,13,movie,plain,1,Correlation,Naver,C,,Determine which of the last 5 columns are positively correlated with the column named Naver,PluggedIn,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DS14_movie_plain2.png,46,14,movie,plain,2,Correlation,"RottenTomatoes",C,,"Determine which of the last 5 columns are positively correlated with the column named RottenTomatoes",Fandango,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DS15_movie_plain3.png,47,15,movie,plain,3,Correlation,MrQE,C,,Determine which of the last 5 columns are positively correlated with the column named MrQE,PluggedIn,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DS16_movie_plain4.png,48,16,movie,plain,4,Correlation,Fandango,C,,Determine which of the last 5 columns are positively correlated with the column named Fandango,Netflix,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DS9_candy_zebra1.png,25,9,candy,zebra,1,Sort,Pluribus,J,,"In the Pluribus column, name the candys with the highest 3 values in descending order ",Red Vines-Pop Rocks-One Dime,25 22 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DS10_candy_zebra2.png,26,10,candy,zebra,2,Sort,Fruity,L,,"In the Fruity column, name the candys with the highest 3 values in descending order ",Gold Bears-Fruit Chews-Red Vines,26 11 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DS11_candy_zebra3.png,27,11,candy,zebra,3,Sort,Bar,K,,"In the Bar column, name the candys with the highest 3 values in descending order ",Now Later-Root Barrels-Gold Bears,5 28 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DS12_candy_zebra4.png,28,12,candy,zebra,4,Sort,Caramel,I,,"In the Caramel column, name the candys with the highest 3 values in descending order ",Fun Dips-Berry Chews-Baby Ruth,28 23 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DS5_cereal_color1.png,5,5,cereal,color,1,Sort,Calories,H,,"In the Calories column, name the cereals with the highest 3 values in descending order ",Natural Bran-Almond Raisin-Fruity Pebbles,5 19 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DS6_cereal_color2.png,6,6,cereal,color,2,Sort,Potassium,I,,"In the Potassium column, name the cereals with the highest 3 values in descending order ",Colorful Bran-Apple Jacks-Wheat Cream,22 3 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DS7_cereal_color3.png,7,7,cereal,color,3,Sort,Score,K,,"In the Score column, name the cereals with the highest 3 values in descending order ",Wonderful Chex-Colorful Bran-Golden Crisp,18 15 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DS8_cereal_color4.png,8,8,cereal,color,4,Sort,Potassium,J,,"In the Potassium column, name the cereals with the highest 3 values in descending order ",Golden Crisp-Wheat Cream-Sweet Combo,19 28 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DS1_anime_bar1.png,49,1,anime,bar,1,Sort,Score,I,,"In the Score column, name the animes with the highest 3 values in descending order ",Magical Warfare-First Stage-Metal Panic,18 17 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DS2_anime_bar2.png,50,2,anime,bar,2,Sort,Episodes,L,,"In the Episodes column, name the animes with the highest 3 values in descending order ",Monster Hunter-Beating Music-Dragon Ball,12 18 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DS3_anime_bar3.png,51,3,anime,bar,3,Sort,Favorites,J,,"In the Favorites column, name the animes with the highest 3 values in descending order ",King Ranking-Ultimate horror-Queen Kingdom,5 10 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DS4_anime_bar4.png,52,4,anime,bar,4,Sort,On-Hold,K,,"In the On-Hold column, name the animes with the highest 3 values in descending order ",Helping Alice-Fafnar Weapon-Cursing Notebook,6 24 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DS13_movie_plain1.png,45,13,movie,plain,1,Sort,PluggedIn,I,,"In the PluggedIn column, name the movies with the highest 3 values in descending order ",About Elly-Black White-Divergent Series,21 16 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DS14_movie_plain2.png,46,14,movie,plain,2,Sort,Metacritic,K,,"In the Metacritic column, name the movies with the highest 3 values in descending order ",Irrational Man -Teenage Girl -Mapping Stars,5 21 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DS15_movie_plain3.png,47,15,movie,plain,3,Sort,Fandango,H,,"In the Fandango column, name the movies with the highest 3 values in descending order ",Teenage Girl -Irrational Man -Next Door,10 9 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DS16_movie_plain4.png,48,16,movie,plain,4,Sort,Netflix,J,,"In the Netflix column, name the movies with the highest 3 values in descending order ",Welcome Home-About Elly-Irrational Man ,18 6 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DS9_candy_zebra1.png,25,9,candy,zebra,1,Estimate Average,Nougat,G,,"In the Nougat column, calculate a rough estimate of the average value",37.86206896551724,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DS10_candy_zebra2.png,26,10,candy,zebra,2,Estimate Average,Nougat,D,,"In the Nougat column, calculate a rough estimate of the average value",35.62068965517241,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DS11_candy_zebra3.png,27,11,candy,zebra,3,Estimate Average,Price,F,,"In the Price column, calculate a rough estimate of the average value",50.241379310344826,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DS12_candy_zebra4.png,28,12,candy,zebra,4,Estimate Average,Almond,G,,"In the Almond column, calculate a rough estimate of the average value",37.86206896551724,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DS5_cereal_color1.png,5,5,cereal,color,1,Estimate Average,Vitamins,F,,"In the Vitamins column, calculate a rough estimate of the average value",56.93103448275862,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DS6_cereal_color2.png,6,6,cereal,color,2,Estimate Average,Score,E,,"In the Score column, calculate a rough estimate of the average value",42.10344827586207,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DS7_cereal_color3.png,7,7,cereal,color,3,Estimate Average,Fat,D,,"In the Fat column, calculate a rough estimate of the average value",35.62068965517241,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DS8_cereal_color4.png,8,8,cereal,color,4,Estimate Average,Calories,E,,"In the Calories column, calculate a rough estimate of the average value",52.310344827586206,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DS1_anime_bar1.png,49,1,anime,bar,1,Estimate Average,"Plan to Watch",D,,"In the Plan to Watch column, calculate a rough estimate of the average value",28.896551724137932,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DS2_anime_bar2.png,50,2,anime,bar,2,Estimate Average,Popularity,F,,"In the Popularity column, calculate a rough estimate of the average value",62.37931034482759,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DS3_anime_bar3.png,51,3,anime,bar,3,Estimate Average,Watching,E,,"In the Watching column, calculate a rough estimate of the average value",37.86206896551724,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DS4_anime_bar4.png,52,4,anime,bar,4,Estimate Average,Members,G,,"In the Members column, calculate a rough estimate of the average value",47.6551724137931,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DS13_movie_plain1.png,45,13,movie,plain,1,Estimate Average,Fandango,E,,"In the Fandango column, calculate a rough estimate of the average value",52.310344827586206,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DS14_movie_plain2.png,46,14,movie,plain,2,Estimate Average,Roger Ebert,G,,"In the Roger Ebert column, calculate a rough estimate of the average value",37.86206896551724,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DS15_movie_plain3.png,47,15,movie,plain,3,Estimate Average,"RottenTomatoes",F,,"In the RottenTomatoes column, calculate a rough estimate of the average value",50.241379310344826,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DS16_movie_plain4.png,48,16,movie,plain,4,Estimate Average,IMDB,E,,"In the IMDB column, calculate a rough estimate of the average value",52.310344827586206,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DS9_candy_zebra1.png,25,9,candy,zebra,1,Retrieve Value,Pluribus,J,32,"In the Pluribus column, find the candy with a value equal to 32",Root Barrels,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DS10_candy_zebra2.png,26,10,candy,zebra,2,Retrieve Value,Fruity,L,21,"In the Fruity column, find the candy with a value equal to 21",Pixie Sticks,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DS11_candy_zebra3.png,27,11,candy,zebra,3,Retrieve Value,Almond,I,41,"In the Almond column, find the candy with a value equal to 41",Milk Duds,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DS12_candy_zebra4.png,28,12,candy,zebra,4,Retrieve Value,Nougat,K,59,"In the Nougat column, find the candy with a value equal to 59",Haribo Cola,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DS5_cereal_color1.png,5,5,cereal,color,1,Retrieve Value,Iron,K,51,"In the Iron column, find the anime with a value equal to 51",Corn Favorite,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DS6_cereal_color2.png,6,6,cereal,color,2,Retrieve Value,Carbo,H,32,"In the Carbo column, find the anime with a value equal to 32",Fruity Pebbles,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DS7_cereal_color3.png,7,7,cereal,color,3,Retrieve Value,Potassium,I,83,"In the Potassium column, find the anime with a value equal to 83",Corn Favorite,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DS8_cereal_color4.png,8,8,cereal,color,4,Retrieve Value,Fat,K,26,"In the Fat column, find the anime with a value equal to 26",Wonderful Chex,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DS1_anime_bar1.png,49,1,anime,bar,1,Retrieve Value,Ranked,G,15,"In the Ranked column, find the anime with a value equal to 15",Best Humanity,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DS2_anime_bar2.png,50,2,anime,bar,2,Retrieve Value,Watching,H,26,"In the Watching column, find the anime with a value equal to 26",Queen Kingdom,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DS3_anime_bar3.png,51,3,anime,bar,3,Retrieve Value,"Plan to Watch",I,17,"In the Plan to Watch column, find the anime with a value equal to 17",Great Teacher,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DS4_anime_bar4.png,52,4,anime,bar,4,Retrieve Value,Watching,J,12,"In the Watching column, find the anime with a value equal to 12",Monster Hunter,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DS13_movie_plain1.png,45,13,movie,plain,1,Retrieve Value,"RottenTomatoes",J,67,"In the RottenTomatoes column, find the movie with a value equal to 67",Welcome Home,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DS14_movie_plain2.png,46,14,movie,plain,2,Retrieve Value,MrQE,I,79,"In the MrQE column, find the movie with a value equal to 79",Tomorrow land,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DS15_movie_plain3.png,47,15,movie,plain,3,Retrieve Value,"Film Comment",L,73,"In the Film Comment column, find the movie with a value equal to 73",Adaline Age,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DS16_movie_plain4.png,48,16,movie,plain,4,Retrieve Value,PluggedIn,K,31,"In the PluggedIn column, find the movie with a value equal to 31",Still Alice,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
