Task Id,Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task,T-Header,T-Column,T-par1,T-Prompt ,T-answer,Answer-Col-or-Row,T3 A2,T3 col a2,T3 A3,T3 col a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DS13_movie_color1.png,13,13,movie,color,1,Correlation,"Rotten
Tomatoes",C,0,"Determine which of the last 5 columns are positively correlated with the column named Rotten
Tomatoes",Naver,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DS14_movie_color2.png,14,14,movie,color,2,Correlation,Metacritic,C,0,Determine which of the last 5 columns are positively correlated with the column named Metacritic,"Rotten
Tomatoes",L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DS15_movie_color3.png,15,15,movie,color,3,Correlation,IMDB,C,0,Determine which of the last 5 columns are positively correlated with the column named IMDB,"Film
 Comment",K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DS16_movie_color4.png,16,16,movie,color,4,Correlation,PluggedIn,C,0,Determine which of the last 5 columns are positively correlated with the column named PluggedIn,Netflix,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DS1_anime_zebra1.png,17,1,anime,zebra,1,Correlation,Dropped,C,0,Determine which of the last 5 columns are positively correlated with the column named Dropped,Favorites,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DS2_anime_zebra2.png,18,2,anime,zebra,2,Correlation,Popularity,C,0,Determine which of the last 5 columns are positively correlated with the column named Popularity,Episodes,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DS3_anime_zebra3.png,19,3,anime,zebra,3,Correlation,Score,C,0,Determine which of the last 5 columns are positively correlated with the column named Score,"Plan
 to Watch",K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DS4_anime_zebra4.png,20,4,anime,zebra,4,Correlation,Ranked,C,0,Determine which of the last 5 columns are positively correlated with the column named Ranked,On-Hold,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DS5_cereal_plain1.png,37,5,cereal,plain,1,Correlation,Protein,C,0,Determine which of the last 5 columns are positively correlated with the column named Protein,Sodium,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DS6_cereal_plain2.png,38,6,cereal,plain,2,Correlation,Vitamins,C,0,Determine which of the last 5 columns are positively correlated with the column named Vitamins,Potassium,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DS7_cereal_plain3.png,39,7,cereal,plain,3,Correlation,Fiber,C,0,Determine which of the last 5 columns are positively correlated with the column named Fiber,Score,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DS8_cereal_plain4.png,40,8,cereal,plain,4,Correlation,Sugars,C,0,Determine which of the last 5 columns are positively correlated with the column named Sugars,Fiber,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DS9_candy_bar1.png,57,9,candy,bar,1,Correlation,Bar,C,0,Determine which of the last 5 columns are positively correlated with the column named Bar,Almond,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DS10_candy_bar2.png,58,10,candy,bar,2,Correlation,Fruity,C,0,Determine which of the last 5 columns are positively correlated with the column named Fruity,Caramel,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DS11_candy_bar3.png,59,11,candy,bar,3,Correlation,Almond,C,0,Determine which of the last 5 columns are positively correlated with the column named Almond,Bar,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DS12_candy_bar4.png,60,12,candy,bar,4,Correlation,Caramel,C,0,Determine which of the last 5 columns are positively correlated with the column named Caramel,Bar,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DS13_movie_color1.png,13,13,movie,color,1,Sort,Naver,I,0,"In the Naver column, name the movies with the highest 3 values in descending order ",Welcome Home-Saint Laurent-Red Army,21 16 17,,Welcome Home,21,16,Saint Laurent,17,Red Army,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DS14_movie_color2.png,14,14,movie,color,2,Sort,"Film
 Comment",K,0,"In the Film
 Comment column, name the movies with the highest 3 values in descending order ",About Elly-Love Mercy-Welcome Home,5 21 20,,About Elly,5,21,Love Mercy,20,Welcome Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DS15_movie_color3.png,15,15,movie,color,3,Sort,PluggedIn,H,0,"In the PluggedIn column, name the movies with the highest 3 values in descending order ",Tomorrow land-Black Sea-South Paw,10 9 20,,Tomorrow land,10,9,Black Sea,20,South Paw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DS16_movie_color4.png,16,16,movie,color,4,Sort,Netflix,J,0,"In the Netflix column, name the movies with the highest 3 values in descending order ",Welcome Home-Saint Laurent-Red Army,18 6 10,,Welcome Home,18,6,Saint Laurent,10,Red Army,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DS1_anime_zebra1.png,17,1,anime,zebra,1,Sort,Favorites,I,0,"In the Favorites column, name the animes with the highest 3 values in descending order ",Fighting Animal-Ultra Generation-Metal Panic,18 17 28,,Fighting Animal,18,17,Ultra Generation,28,Metal Panic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DS2_anime_zebra2.png,18,2,anime,zebra,2,Sort,Watching,J,0,"In the Watching column, name the animes with the highest 3 values in descending order ",Queen Kingdom-Attacking Titan-Mobile Phone,3 12 17,,Queen Kingdom,3,12,Attacking Titan,17,Mobile Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DS3_anime_zebra3.png,19,3,anime,zebra,3,Sort,Ranked,L,0,"In the Ranked column, name the animes with the highest 3 values in descending order ",Dragon Ball-Fourth Stage-Beating Music,20 27 16,,Dragon Ball,20,27,Fourth Stage,16,Beating Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DS4_anime_zebra4.png,20,4,anime,zebra,4,Sort,Score,K,0,"In the Score column, name the animes with the highest 3 values in descending order ",Helping Alice-Neon Genesis-Queen Kingdom,6 24 22,,Helping Alice,6,24,Neon Genesis,22,Queen Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DS5_cereal_plain1.png,37,5,cereal,plain,1,Sort,Carbo,H,0,"In the Carbo column, name the cereals with the highest 3 values in descending order ",Oatmeal Crisp-Wheat Cream-Grape Flakes,5 19 20,,Oatmeal Crisp,5,19,Wheat Cream,20,Grape Flakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DS6_cereal_plain2.png,38,6,cereal,plain,2,Sort,Potassium,I,0,"In the Potassium column, name the cereals with the highest 3 values in descending order ",Corn Favorite-Frosted Flakes-Natural Bran,22 3 7,,Corn Favorite,22,3,Frosted Flakes,7,Natural Bran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DS7_cereal_plain3.png,39,7,cereal,plain,3,Sort,Iron,K,0,"In the Iron column, name the cereals with the highest 3 values in descending order ",Almond Delight-Honey Nut-Wonderful Chex,18 15 23,,Almond Delight,18,15,Honey Nut,23,Wonderful Chex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DS8_cereal_plain4.png,40,8,cereal,plain,4,Sort,Score,J,0,"In the Score column, name the cereals with the highest 3 values in descending order ",Bran Chex-Cinnamon Toast-Double Chex,19 28 15,,Bran Chex,19,28,Cinnamon Toast,15,Double Chex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DS9_candy_bar1.png,57,9,candy,bar,1,Sort,Pluribus,J,0,"In the Pluribus column, name the candys with the highest 3 values in descending order ",Milk Duds-Gold Bears-Life Savers,25 22 5,,Milk Duds,25,22,Gold Bears,5,Life Savers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DS10_candy_bar2.png,58,10,candy,bar,2,Sort,Almond,L,0,"In the Almond column, name the candys with the highest 3 values in descending order ",Crunch Time-Haribo Cola-Berry Chews,26 11 20,,Crunch Time,26,11,Haribo Cola,20,Berry Chews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DS11_candy_bar3.png,59,11,candy,bar,3,Sort,Bar,K,0,"In the Bar column, name the candys with the highest 3 values in descending order ",Rolo Chiclets-Caramel Apple-Milk Duds,5 28 27,,Rolo Chiclets,5,28,Caramel Apple,27,Milk Duds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DS12_candy_bar4.png,60,12,candy,bar,4,Sort,Bar,I,0,"In the Bar column, name the candys with the highest 3 values in descending order ",Root Barrels-Now Later-Caramel Apple,28 23 29,,Root Barrels,28,23,Now Later,29,Caramel Apple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DS13_movie_color1.png,13,13,movie,color,1,Estimate Average,Fandango,E,0,"In the Fandango column, calculate a rough estimate of the average value",52.310344827586206,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DS14_movie_color2.png,14,14,movie,color,2,Estimate Average,MrQE,G,0,"In the MrQE column, calculate a rough estimate of the average value",37.86206896551724,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DS15_movie_color3.png,15,15,movie,color,3,Estimate Average,"Rotten
Tomatoes",F,0,"In the Rotten
Tomatoes column, calculate a rough estimate of the average value",50.241379310344826,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DS16_movie_color4.png,16,16,movie,color,4,Estimate Average,IMDB,E,0,"In the IMDB column, calculate a rough estimate of the average value",52.310344827586206,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DS1_anime_zebra1.png,17,1,anime,zebra,1,Estimate Average,Episodes,D,0,"In the Episodes column, calculate a rough estimate of the average value",28.896551724137932,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DS2_anime_zebra2.png,18,2,anime,zebra,2,Estimate Average,Members,F,0,"In the Members column, calculate a rough estimate of the average value",62.37931034482759,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DS3_anime_zebra3.png,19,3,anime,zebra,3,Estimate Average,Completed,E,0,"In the Completed column, calculate a rough estimate of the average value",37.86206896551724,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DS4_anime_zebra4.png,20,4,anime,zebra,4,Estimate Average,Members,G,0,"In the Members column, calculate a rough estimate of the average value",47.6551724137931,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DS5_cereal_plain1.png,37,5,cereal,plain,1,Estimate Average,Sugars,F,0,"In the Sugars column, calculate a rough estimate of the average value",56.93103448275862,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DS6_cereal_plain2.png,38,6,cereal,plain,2,Estimate Average,Score,E,0,"In the Score column, calculate a rough estimate of the average value",42.10344827586207,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DS7_cereal_plain3.png,39,7,cereal,plain,3,Estimate Average,Vitamins,D,0,"In the Vitamins column, calculate a rough estimate of the average value",35.62068965517241,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DS8_cereal_plain4.png,40,8,cereal,plain,4,Estimate Average,Potassium,E,0,"In the Potassium column, calculate a rough estimate of the average value",52.310344827586206,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DS9_candy_bar1.png,57,9,candy,bar,1,Estimate Average,Chocolate,G,0,"In the Chocolate column, calculate a rough estimate of the average value",37.86206896551724,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DS10_candy_bar2.png,58,10,candy,bar,2,Estimate Average,Nougat,D,0,"In the Nougat column, calculate a rough estimate of the average value",35.62068965517241,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DS11_candy_bar3.png,59,11,candy,bar,3,Estimate Average,Fruity,F,0,"In the Fruity column, calculate a rough estimate of the average value",50.241379310344826,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DS12_candy_bar4.png,60,12,candy,bar,4,Estimate Average,"Sugar
Percent",G,0,"In the Sugar
Percent column, calculate a rough estimate of the average value",37.86206896551724,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DS13_movie_color1.png,13,13,movie,color,1,Retrieve Value,PluggedIn,J,67,"In the PluggedIn column, find the anime with a value equal to 67",Running Night,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DS14_movie_color2.png,14,14,movie,color,2,Retrieve Value,Netflix,I,79,"In the Netflix column, find the anime with a value equal to 79",End Tour,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DS15_movie_color3.png,15,15,movie,color,3,Retrieve Value,Naver,L,73,"In the Naver column, find the anime with a value equal to 73",Love Mercy,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DS16_movie_color4.png,16,16,movie,color,4,Retrieve Value,Hulu,K,31,"In the Hulu column, find the anime with a value equal to 31",Ricki Flash,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DS1_anime_zebra1.png,17,1,anime,zebra,1,Retrieve Value,Popularity,G,15,"In the Popularity column, find the anime with a value equal to 15",Attacking Titan,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DS2_anime_zebra2.png,18,2,anime,zebra,2,Retrieve Value,On-Hold,H,26,"In the On-Hold column, find the anime with a value equal to 26",Helping Alice,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DS3_anime_zebra3.png,19,3,anime,zebra,3,Retrieve Value,Watching,I,17,"In the Watching column, find the anime with a value equal to 17",Beating Music,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DS4_anime_zebra4.png,20,4,anime,zebra,4,Retrieve Value,On-Hold,J,12,"In the On-Hold column, find the anime with a value equal to 12",Fafnar Weapon,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DS5_cereal_plain1.png,37,5,cereal,plain,1,Retrieve Value,Sodium,K,51,"In the Sodium column, find the cereal with a value equal to 51",Bran Chex,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DS6_cereal_plain2.png,38,6,cereal,plain,2,Retrieve Value,Carbo,H,32,"In the Carbo column, find the cereal with a value equal to 32",Double Chex,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DS7_cereal_plain3.png,39,7,cereal,plain,3,Retrieve Value,Protein,I,83,"In the Protein column, find the cereal with a value equal to 83",Smile Maker,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DS8_cereal_plain4.png,40,8,cereal,plain,4,Retrieve Value,Vitamins,K,26,"In the Vitamins column, find the cereal with a value equal to 26",Frosted Flakes,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DS9_candy_bar1.png,57,9,candy,bar,1,Retrieve Value,Pluribus,J,32,"In the Pluribus column, find the candy with a value equal to 32",Pixie Sticks,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DS10_candy_bar2.png,58,10,candy,bar,2,Retrieve Value,Price,K,68,"In the Price column, find the candy with a value equal to 68",Hersheys Kisses,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DS11_candy_bar3.png,59,11,candy,bar,3,Retrieve Value,Rating,L,26,"In the Rating column, find the candy with a value equal to 26",Fruit Chews,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DS12_candy_bar4.png,60,12,candy,bar,4,Retrieve Value,Bar,I,56,"In the Bar column, find the candy with a value equal to 56",Quarter World,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
